source_name,mean_bias,total_story_count,source_bias,topic_story_count,source_lon,source_lat,source_owners,surprising_dist,unsurprising_dist
+972 Magazine,-1.6,703,-1,15,,,,"[1, 0, 0, 0, 0]","[11, 2, 0, 0, 1]"
-   South Asian Daily where south asians meet daily,0.8461538461538463,1628,0,13,,,,"[0, 2, 1, 0, 1]","[0, 1, 1, 2, 5]"
1010 WCSI,1.1739130434782608,5544,0,69,,,,"[1, 0, 3, 0, 7]","[4, 3, 11, 0, 40]"
1330 & 95.5 WFIN,1.3851851851851853,8779,0,135,,,,"[0, 2, 5, 0, 12]","[5, 6, 14, 1, 90]"
2 News KTVN,-0.7142857142857142,1780,0,14,,,,"[0, 3, 0, 0, 0]","[0, 9, 0, 2, 0]"
5Pillars,-1.4827586206896552,311,0,29,,,,"[4, 3, 0, 0, 0]","[12, 9, 0, 1, 0]"
7NEWS Australia,-0.09090909090909083,64719,1,22,134.456877,-24.588375,Kerry Stokes,"[1, 4, 0, 2, 1]","[0, 7, 2, 3, 2]"
8pmnews.com,1.076923076923077,4594,0,39,,,,"[0, 1, 0, 1, 5]","[2, 6, 1, 4, 19]"
97.5 Y Country,0.25,5134,0,36,,,,"[0, 1, 7, 1, 0]","[0, 5, 13, 4, 5]"
9NEWS Denver,-0.34615384615384626,44755,0,26,-104.980732,39.722616,"Tegna Inc., Tegna Inc","[0, 8, 1, 0, 1]","[0, 10, 2, 1, 3]"
9News,-0.23456790123456783,50767,1,81,131.702059,-21.121822,,"[2, 14, 0, 2, 9]","[4, 33, 4, 6, 7]"
ABC Australia,-0.31775700934579443,207690,-1,107,137.067507,-23.437472,Australian Government,"[3, 9, 0, 0, 7]","[9, 53, 3, 8, 15]"
ABC57,0.22727272727272707,3715,-1,22,,,Weigel Broadcasting,"[1, 1, 2, 0, 1]","[1, 2, 9, 0, 5]"
AIJAC,1.1176470588235294,204,0,17,,,,"[0, 0, 0, 0, 3]","[2, 2, 0, 1, 9]"
ARY News,-0.3846153846153846,48005,0,78,70.269915,30.949749,,"[2, 9, 1, 1, 5]","[5, 36, 8, 4, 7]"
ATN,-0.9473684210526316,2549,0,57,69.207642,34.555244,"Privately held company, Ariana Television Network","[3, 11, 1, 0, 1]","[4, 34, 1, 1, 1]"
Activist Post,-0.5263157894736843,1648,2,19,,,,"[3, 0, 0, 0, 2]","[9, 0, 0, 0, 5]"
Africa News,-0.894736842105263,33696,-1,57,11.871697,-4.767478,European Broadcasting Union,"[0, 9, 2, 0, 0]","[7, 30, 7, 2, 0]"
Al Arabiya,-0.2325581395348837,51820,1,43,45.006959,23.476507,Middle East News FZ LLC,"[0, 4, 1, 1, 1]","[3, 19, 4, 4, 6]"
Al Jazeera,-0.9716981132075471,106454,-1,424,51.200195,25.341522,Qatar,"[16, 19, 3, 1, 6]","[141, 169, 29, 3, 37]"
Al-Monitor,-0.5196374622356494,31390,-1,331,-77.043709,38.900434,Jamal Daniel,"[3, 21, 1, 6, 11]","[25, 198, 20, 17, 29]"
Aletho News,-1.7128712871287128,1999,0,101,,,,"[8, 1, 0, 0, 0]","[82, 4, 0, 0, 6]"
All Israel News,1.5,209,2,14,,,,"[0, 0, 0, 0, 1]","[1, 1, 0, 0, 11]"
America First Report,1.789473684210526,3863,2,38,,,,"[0, 0, 0, 0, 4]","[0, 2, 1, 0, 31]"
American Faith,1.4444444444444446,7998,0,54,,,,"[1, 1, 0, 1, 7]","[1, 5, 0, 3, 35]"
American Israelite,1.740740740740741,153,0,27,-84.514036,39.099297,,"[0, 0, 0, 1, 2]","[0, 2, 0, 0, 22]"
American Military News,1.736842105263158,8883,1,19,,,,"[0, 0, 0, 1, 7]","[0, 1, 0, 1, 9]"
American Wire News,1.6363636363636362,5912,2,22,,,,"[0, 0, 0, 0, 4]","[2, 0, 0, 0, 16]"
Anadolu Ajansı,-1.273015873015873,123837,2,945,32.697374,39.777062,Government of Turkey,"[26, 21, 2, 1, 5]","[502, 262, 54, 19, 53]"
Antiwar.com,-1.2894736842105263,6190,1,76,,,,"[11, 1, 0, 0, 3]","[39, 15, 1, 0, 6]"
Arab American News,-1.2777777777777777,198,0,18,,,,"[0, 1, 0, 0, 0]","[9, 6, 1, 0, 1]"
Arab News,-1.0,117786,1,139,46.7122,24.674035,Saudi Research and Media Group,"[2, 18, 0, 1, 1]","[10, 104, 1, 0, 2]"
Archy Worldys,0.0,7997,0,42,,,,"[1, 1, 1, 0, 1]","[9, 6, 9, 3, 11]"
Arutz Sheva,1.3783783783783785,30419,1,37,35.07542,31.088982,"Beit El yeshiva, HolyLand Holdings Ltd","[0, 0, 0, 0, 2]","[1, 3, 3, 4, 24]"
Asharq AL-awsat,0.04347826086956541,5290,1,23,46.715098,24.704354,Saudi Research and Marketing Group,"[0, 1, 0, 0, 0]","[0, 11, 4, 1, 6]"
Asia Times,-0.3600000000000001,17630,-1,25,114.092117,22.376947,,"[1, 2, 0, 0, 2]","[0, 15, 2, 0, 3]"
Asiafreepress,-1.2727272727272727,409,0,11,,,,"[0, 2, 0, 0, 0]","[5, 2, 2, 0, 0]"
Asian News,-0.34444444444444455,6604,0,90,,,,"[2, 7, 4, 0, 3]","[6, 32, 24, 6, 6]"
Associated Press News,-0.5680473372781065,471768,-1,338,-94.708464,37.30026,Independent Media,"[2, 30, 5, 0, 9]","[5, 216, 41, 10, 20]"
Atlantic Council,-0.7647058823529411,2983,1,17,-77.035159,38.907684,Frederick Kempe,"[1, 2, 0, 0, 0]","[1, 11, 0, 0, 2]"
Australian Financial Review,0.4473684210526314,15385,1,38,151.217199,-33.863712,Nine Entertainment Co.,"[0, 2, 2, 1, 4]","[0, 14, 2, 2, 11]"
Australian National Review,1.0,6308,0,61,,,,"[1, 3, 0, 1, 6]","[5, 9, 0, 0, 36]"
BARE NAKED ISLAM,2.0,760,2,19,,,,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 17]"
BBC News,-0.431111111111111,912501,0,225,-1.79857,52.449128,Government of the United Kingdom,"[2, 24, 1, 0, 5]","[10, 113, 30, 26, 14]"
BERNAMA,-0.75,5242,0,12,,,,"[0, 1, 0, 0, 1]","[4, 4, 1, 0, 1]"
Banbury FM,-0.2727272727272727,2814,0,22,,,,"[0, 5, 1, 1, 2]","[1, 8, 1, 2, 1]"
Bangkok Post,-0.2906976744186047,110127,1,86,100.51635,13.790268,Stock Exchange of Thailand,"[1, 10, 1, 2, 6]","[5, 39, 8, 6, 8]"
Barrie 360,-0.8500000000000001,11423,0,20,,,,"[0, 10, 0, 1, 0]","[0, 8, 1, 0, 0]"
Barrie Today,-0.6125,78661,-1,80,-79.679061,44.393368,,"[1, 17, 2, 2, 4]","[1, 43, 7, 1, 2]"
Barron's,0.14814814814814836,19516,0,54,-74.004939,40.701489,Murdoch family,"[0, 5, 3, 3, 2]","[0, 8, 23, 6, 4]"
Battlefords NOW,-0.47457627118644075,34997,0,59,,,,"[1, 7, 3, 3, 2]","[1, 30, 9, 0, 3]"
Benzinga,0.4117647058823528,196851,0,17,-74.033243,40.712714,,"[0, 1, 1, 0, 4]","[0, 7, 0, 1, 3]"
Bible Prophecy In The Daily Headlines,1.481171548117155,8989,0,478,,,,"[4, 1, 0, 0, 30]","[51, 7, 2, 0, 383]"
Bloomberg,0.23076923076923084,128817,-1,91,-95.796076,36.992332,"Michael Bloomberg, The Vanguard Group, Howard Buffett, BlackRock","[0, 8, 9, 2, 6]","[3, 17, 22, 10, 14]"
Blue Water Healthy Living,-0.679245283018868,19284,0,159,-82.424547,42.970308,,"[1, 22, 0, 1, 3]","[3, 103, 15, 4, 7]"
Boston Globe,-0.9090909090909092,28282,-1,11,-71.076494,42.365282,John W. Henry,"[1, 4, 0, 0, 1]","[1, 4, 0, 0, 0]"
Boston Herald,-0.5,91407,1,84,-71.052166,42.361057,Alden Global Capital,"[1, 20, 2, 0, 3]","[2, 40, 6, 2, 8]"
Bowen Island Undercurrent,-0.6799999999999999,23747,-1,75,,,Glacier Media,"[2, 12, 0, 1, 2]","[1, 46, 6, 2, 3]"
Bradford Today,-0.6666666666666667,75294,0,78,-79.561862,44.111457,,"[1, 16, 2, 2, 3]","[1, 44, 7, 0, 2]"
Brant.One,0.11764705882352944,813,0,17,,,,"[1, 0, 0, 0, 1]","[2, 5, 2, 1, 5]"
Brave New Europe,-0.71875,1275,0,32,,,,"[3, 1, 0, 0, 3]","[18, 0, 0, 0, 7]"
Breaking News,-0.6341463414634145,22061,-1,41,-8.688424,53.243955,,"[1, 11, 1, 0, 2]","[2, 20, 0, 1, 3]"
BreezyScroll,0.2941176470588234,3453,0,17,,,,"[0, 1, 0, 0, 0]","[1, 5, 2, 3, 5]"
Breitbart,1.465811965811966,165593,2,234,-93.746661,35.269276,"Larry Solov, Robert Mercer","[2, 2, 0, 0, 30]","[11, 19, 3, 4, 163]"
